A4HDO1M600QW5	asylum madhouse	9
A4HDO1M600QW5	automobile car	10
A1VKZFYJL9MQRY	bird cock	8
A309DAE1D13T8V	bird crane	10
A1ASWQQ7MSIQR7	boy lad	10
A309DAE1D13T8V	brother lad	9
A1ASWQQ7MSIQR7	brother monk	5
A1VKZFYJL9MQRY	car journey	0
A227TAJC8MOYK5	cemetery woodland	0
A1VKZFYJL9MQRY	coast forest	0
A4HDO1M600QW5	coast hill	7
A19PMUTQXDIPLZ	coast shore	9
A309DAE1D13T8V	cord smile	0
A8CQRBBVE7VED	crane implement	0
A2XON1EQOHHFE4	food fruit	9
A1ASWQQ7MSIQR7	food rooster	0
A227TAJC8MOYK5	forest graveyard	0
A1ASWQQ7MSIQR7	furnace stove	2
A19PMUTQXDIPLZ	gem jewel	10
A8CQRBBVE7VED	glass magician	0
A1ASWQQ7MSIQR7	journey voyage	10
A19PMUTQXDIPLZ	lad wizard	5
A8CQRBBVE7VED	magician wizard	7
AZ8KL6F16ZS7G	midday noon	10
A1VKZFYJL9MQRY	monk oracle	0
A2XON1EQOHHFE4	monk slave	3
A3CWG4SYLGAMHV	noon string	0
A19PMUTQXDIPLZ	rooster voyage	2
A3CWG4SYLGAMHV	shore woodland	4
A4HDO1M600QW5	tool implement	8
